sample,tissue,umap1,umap2,kmeans,physiotype,plate,case_id
22c48da7-f220-43f4-a1b0-fd57358f7ae7.rna_seq.augmented_star_gene_counts.tsv,Tumor,3.4212961,6.1481137,1,1,1755,TCGA-50-5930
22cd91fc-54c5-43e0-80ff-19a419298721.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.8029757,6.330443,1,2,A39D,TCGA-L9-A5IP
22d87348-bca7-4428-b8e2-2f161d77bcc5.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.158709,4.6431236,1,1,2287,TCGA-69-8253
2301103f-5cbe-4cb6-b5da-0b83b39e4616.rna_seq.augmented_star_gene_counts.tsv,Tumor,1.7275138,8.066515,1,1,1628,TCGA-50-5055
2306a9ab-37ae-4dfd-b992-4f62022c3d4c.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.825191,4.9915094,1,1,A262,TCGA-95-A4VK
233b6aa7-9d3f-4db0-a900-03f7cf4d0ac4.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.5880327,4.88695,1,1,A262,TCGA-NJ-A55O
23aeef43-0657-45f1-835e-52a829f0bea2.rna_seq.augmented_star_gene_counts.tsv,Tumor,3.0497625,8.063097,1,2,2403,TCGA-55-8506
25212f64-8017-4b93-b171-10a830558566.rna_seq.augmented_star_gene_counts.tsv,Tumor,3.2802281,9.395694,0,1,2241,TCGA-55-8090
256e320c-e4de-4918-b3bc-b71657bfd4cc.rna_seq.augmented_star_gene_counts.tsv,Tumor,3.5293484,9.10416,0,1,2187,TCGA-86-7953
258b0b5e-2b09-4378-9606-83955ca19d7c.rna_seq.augmented_star_gene_counts.tsv,Tumor,1.8234481,8.90318,1,1,1107,TCGA-05-4249
25a6fe1b-0472-489f-a721-f596395badb1.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.137562,8.964703,0,1,2066,TCGA-55-7576
25ef25f6-9982-41ad-9823-62763c6c29eb.rna_seq.augmented_star_gene_counts.tsv,Tumor,1.9480548,8.818673,1,1,A24X,TCGA-MP-A4SW
268f14f5-e6f7-413a-90a6-20a205012246.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.9229984,5.770925,1,1,2403,TCGA-55-8505
26fdaa75-cea5-4355-b3b1-6b5c2c75e542.rna_seq.augmented_star_gene_counts.tsv,Tumor,-4.5884347,8.318388,2,2,A277,TCGA-44-5645
27266d85-3f2c-489f-9e5d-663d94ae9f55.rna_seq.augmented_star_gene_counts.tsv,Tumor,4.7650347,6.0160537,1,2,1755,TCGA-50-6592
