B_cells,CD8_T,CD4_T,NK,Mono_Macro,DC,Neutrophils,Mast,Endothelial,Fibroblasts,sample,physiotype,case_id,nnls_r2
0.0,0.18541178986042972,0.17814527300118657,0.07001119657795594,0.059806755067126426,0.3216969931071713,0.05385735688514594,0.13107063550053485,0.0,0.0,20ecdb2d-16ad-437b-ac0e-b84339c769a6.rna_seq.augmented_star_gene_counts.tsv,2,TCGA-97-A4M0,0.22528448415875024
0.0494247435897001,0.08424887157090584,0.5880169715244893,0.0,0.0,0.0,0.0,0.0,0.0,0.2783094133144447,2172f060-6402-44dc-a918-2f9c15c21fa4.rna_seq.augmented_star_gene_counts.tsv,2,TCGA-55-7815,0.24581230493300743
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999999999985402,0.0,21a80f43-21be-4549-901b-c99083021c30.rna_seq.augmented_star_gene_counts.tsv,2,TCGA-62-8397,0.020422063653931066
0.0,0.16382944070010938,0.27481677806396104,0.01681675409031564,0.2990572031034614,0.19709005388982262,0.027639785633343388,0.0,0.02074998451886523,0.0,21eea21d-7db3-4f85-a9e4-72cbb562b5ed.rna_seq.augmented_star_gene_counts.tsv,1,TCGA-62-A46U,0.5630815722357749
0.9999999999963122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22002e84-1d7a-4f93-9934-9d74f45195c0.rna_seq.augmented_star_gene_counts.tsv,2,TCGA-55-7914,0.024975743209761925
0.23967680990476858,0.12401984517318432,0.20687329438306748,0.0730073227540149,0.15469358430649044,0.11129877344064891,0.0,0.023295580041970486,0.004537337479377255,0.0625974525163535,2276a330-e86b-46e1-be45-ae41d217ef66.rna_seq.augmented_star_gene_counts.tsv,1,TCGA-97-A4LX,0.7356783225568644
0.6070783330443719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3929216669540273,22c48da7-f220-43f4-a1b0-fd57358f7ae7.rna_seq.augmented_star_gene_counts.tsv,1,TCGA-50-5930,0.07629814988643968
0.0,0.0,0.0,0.0,0.0,0.0,0.7166110254531758,0.0,0.28338897454580386,0.0,22cd91fc-54c5-43e0-80ff-19a419298721.rna_seq.augmented_star_gene_counts.tsv,2,TCGA-L9-A5IP,0.06424180101865506
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22d87348-bca7-4428-b8e2-2f161d77bcc5.rna_seq.augmented_star_gene_counts.tsv,1,TCGA-69-8253,3.219646771412954e-14
0.4715395271098573,0.13939142204826707,0.17572684617546205,0.04982930457269269,0.0,0.1018245916566312,0.0,0.0,0.018857680605904637,0.04283062783111402,2301103f-5cbe-4cb6-b5da-0b83b39e4616.rna_seq.augmented_star_gene_counts.tsv,1,TCGA-50-5055,0.6826585648966665
0.9254012173673368,0.0,0.06749367988911227,0.007105102742782765,0.0,0.0,0.0,0.0,0.0,0.0,2306a9ab-37ae-4dfd-b992-4f62022c3d4c.rna_seq.augmented_star_gene_counts.tsv,1,TCGA-95-A4VK,0.31404656673956743
